date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:02	100928/100928	---MCZ	200	added ('OK')	text/html	etag:W/%2265cbfbdb-18a40%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html	(from )
18:18:03	128/128	---MCZ	200	added ('OK')	text/plain	date:Thu,%2009%20May%202024%2015:18:03%20GMT	https://ui-themez.smartinnovates.net/robots.txt		(from )
18:18:04	339/339	---M--	200	added ('OK')	image/png	etag:%2265cbfbf7-153%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/fav.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/fav.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:04	155806/155806	---MCZ	200	added ('OK')	text/css	etag:W/%2265cbfc19-2609e%22	https://ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/bootstrap.min.css	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/bootstrap.min.css	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:04	242517/242517	---MCZ	200	added ('OK')	text/css	etag:W/%2265cbfc18-3b355%22	https://ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/all.min.css	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/all.min.css	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:04	117622/117622	---MCZ	200	added ('OK')	text/css	etag:W/%2265cbfc1a-1cb76%22	https://ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/line-awesome.css	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/line-awesome.css	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:05	58400/58400	---MCZ	200	added ('OK')	text/css	etag:W/%2265cbfc1a-e420%22	https://ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/ionicons.css	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/ionicons.css	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:05	81381/81381	---MCZ	200	added ('OK')	text/css	etag:W/%2265cbfc19-13de5%22	https://ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/animate.css	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/animate.css	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:05	11233/11233	---MCZ	200	added ('OK')	text/css	etag:W/%2265cbfc1a-2be1%22	https://ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/jquery.fancybox.css	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/jquery.fancybox.css	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:05	4410/4410	---MCZ	200	added ('OK')	text/css	etag:W/%2265cbfc1b-113a%22	https://ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/lity.css	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/lity.css	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:05	15830/15830	---MCZ	200	added ('OK')	text/css	etag:W/%2265cbfc1b-3dd6%22	https://ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/swiper8.min.css	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/swiper8.min.css	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:06	54689/54689	---MCZ	200	added ('OK')	text/css	etag:W/%2265cbfc1a-d5a1%22	https://ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/iziToast.min.css	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/lib/iziToast.min.css	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:06	41491/41491	---MCZ	200	added ('OK')	text/css	etag:W/%2265cbfbe4-a213%22	https://ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/common_style.css	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/common/assets/css/common_style.css	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:06	33435/33435	---MCZ	200	added ('OK')	text/css	etag:W/%2265cbfbf5-829b%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/css/home_2_style.css	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/css/home_2_style.css	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:06	1113/1113	---M--	200	added ('OK')	image/png	etag:%2265cbfc48-459%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/icons/smile_face.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/icons/smile_face.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:06	2051/2051	---M--	200	added ('OK')	image/png	etag:%2265cbfbf7-803%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/logo.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/logo.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:07	818/818	---M--	200	added ('OK')	image/png	etag:%2265cbfbf7-332%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/eng.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/eng.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:07	119086/119086	---M--	200	added ('OK')	image/jpeg	etag:%2265cbfc47-1d12e%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/header/header2.jpg	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/header/header2.jpg	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:08	686242/686242	---M--	200	added ('OK')	image/jpeg	etag:%2265cbfc47-a78a2%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/header/header1.jpg	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/header/header1.jpg	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:08	102545/102545	---M--	200	added ('OK')	image/png	etag:%2265cbfc45-19091%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/catg/ceiling.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/catg/ceiling.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:08	307926/307926	---M--	200	added ('OK')	image/jpeg	etag:%2265cbfc47-4b2d6%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/header/header3.jpg	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/header/header3.jpg	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:08	90153/90153	---M--	200	added ('OK')	image/png	etag:%2265cbfc45-16029%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/catg/lamps.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/catg/lamps.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:08	73929/73929	---M--	200	added ('OK')	image/png	etag:%2265cbfc46-120c9%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/catg/sconces.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/catg/sconces.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:09	52602/52602	---M--	200	added ('OK')	image/png	etag:%2265cbfc46-cd7a%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/catg/outdoor.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/catg/outdoor.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:09	60278/60278	---M--	200	added ('OK')	image/png	etag:%2265cbfc45-eb76%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/catg/fan.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/catg/fan.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:09	132319/132319	---M--	200	added ('OK')	image/png	etag:%2265cbfc45-204df%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/catg/accessories.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/catg/accessories.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:10	110331/110331	---M--	200	added ('OK')	image/png	etag:%2265cbfc4f-1aefb%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/products/1a.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/products/1a.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:10	799948/799948	---M--	200	added ('OK')	image/png	etag:%2265cbfc50-c34cc%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/products/2a.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/products/2a.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:10	762553/762553	---M--	200	added ('OK')	image/png	etag:%2265cbfc50-ba2b9%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/products/2b.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/products/2b.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:10	95053/95053	---M--	200	added ('OK')	image/png	etag:%2265cbfc4f-1734d%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/products/1b.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/products/1b.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:11	119811/119811	---M--	200	added ('OK')	image/png	etag:%2265cbfc4f-1d403%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/products/1c.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/products/1c.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:11	358392/358392	---M--	200	added ('OK')	image/png	etag:%2265cbfc50-577f8%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/products/3a.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/products/3a.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:11	1282/1282	---M--	200	added ('OK')	image/png	etag:%2265cbfbf7-502%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/star.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/star.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:11	119373/119373	---M--	200	added ('OK')	image/jpeg	etag:%2265cbfc55-1d24d%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/rooms/room1.jpg	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/rooms/room1.jpg	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:12	123336/123336	---M--	200	added ('OK')	image/jpeg	etag:%2265cbfc55-1e1c8%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/rooms/room2.jpg	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/rooms/room2.jpg	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:12	91661/91661	---M--	200	added ('OK')	image/jpeg	etag:%2265cbfc55-1660d%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/rooms/room3.jpg	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/rooms/room3.jpg	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:12	81718/81718	---M--	200	added ('OK')	image/png	etag:%2265cbfc52-13f36%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/products/8a.png	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/products/8a.png	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
18:18:12	351852/351852	---M--	200	added ('OK')	image/jpeg	etag:%2265cbfc55-55e6c%22	https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/rooms/room_det.jpg	C:/Users/Sayed.Azzab/Documents/swoo%20templ/swoo/ui-themez.smartinnovates.net/items/swoo_html/home_lighting/assets/img/rooms/room_det.jpg	(from https://ui-themez.smartinnovates.net/items/swoo_html/home_lighting/index.html)
